method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max
Euler_Explicit,500,0.001,,True,10000,10000,0,0,0.28400325775146484,,0.45107285046287765,523.6710462994905,469.21926512011356,5.948419162864429,6185.748286793565,1038.8978480552894,6232.123048308494
Euler_Implicit,500,0.1,,False,0,451,50,50,0.013636350631713867,Newton non converge al passo 1,,,,,,,
Euler_Implicit,500,0.05,,False,0,451,50,50,0.013372182846069336,Newton non converge al passo 1,,,,,,,
Euler_Implicit,500,0.02,,False,0,451,50,50,0.013360977172851562,Newton non converge al passo 1,,,,,,,
Euler_Implicit,500,0.01,,True,1000,10181,909,909,0.3010551929473877,,0.09314754212320568,11.365373443365964,10.033955933977492,5.948419162864429,-0.06559808186876981,1.0110278176558731,1.0110278176558731
Euler_Implicit,500,0.005,,True,2000,24358,2262,2262,0.7271614074707031,,0.09165210663978972,11.348533885978105,10.033955933786219,5.948419162864429,-0.0655980818687698,1.0110278176558731,1.0110278176558731
Euler_Implicit,500,0.002,,True,5000,65818,6202,6202,1.963258981704712,,0.08706781900633755,11.297281284457943,10.033946531374902,5.948419162864429,-0.06559806182627681,1.0110278142864917,1.0110278142864917
Euler_Implicit,500,0.001,,True,10000,130043,12227,12227,3.8506767749786377,,0.07903329965494214,11.214158374232769,10.033356575912228,5.948419162864429,-0.06529355061200363,1.0109766223301186,1.0109766223301186
Trapezoid,500,0.1,,False,0,451,50,50,0.013699769973754883,Newton non converge al passo 1,,,,,,,
Trapezoid,500,0.05,,False,0,451,50,50,0.013506412506103516,Newton non converge al passo 1,,,,,,,
Trapezoid,500,0.02,,False,0,451,50,50,0.013516664505004883,Newton non converge al passo 1,,,,,,,
Trapezoid,500,0.01,,True,1000,151445,16605,16605,4.57960844039917,,0.11592903847668513,14.34273150447746,4.088669583132473,5.948419162864429,5.923188009351758,0.004241656954874188,0.007821664813543598
Trapezoid,500,0.005,,True,2000,120802,12978,12978,3.6329963207244873,,0.0378440253121668,14.786117362454545,18.56166404432863,5.948419162864429,5.948863566055017,7.470946118974585e-05,0.0012622492398063354
Trapezoid,500,0.002,,True,5000,120529,12281,12281,3.6397271156311035,,0.018186825930432506,15.190211304721545,0.4998506256410278,5.948419162864429,5.947510820509016,0.0001527031519708597,0.00023153870728019388
Trapezoid,500,0.001,,True,10000,200000,20000,20000,6.013504505157471,,0.016421872623046153,14.26771496506791,22.754945267935863,5.948419162864429,5.948157910947668,4.391955402071757e-05,5.952777224212592e-05
RK4,500,0.1,,False,1,4,0,0,0.00023317337036132812,Instabilità numerica al passo 1,,,,,,,
RK4,500,0.05,,False,1,6,0,0,0.000225067138671875,y_temp(k2) instabile al passo 2,,,,,,,
RK4,500,0.02,,False,3,12,0,0,0.0003941059112548828,Instabilità numerica al passo 3,,,,,,,
RK4,500,0.01,,True,1000,4000,0,0,0.11629438400268555,,0.012638489668295273,10.945684355293512,10.016150097241333,5.948419162864429,4.6334280795839575,0.22106563900033646,0.22106563900033646
RK4,500,0.005,,True,2000,8000,0,0,0.23215031623840332,,0.012047083889789194,10.695169027787902,10.01471301878459,5.948419162864429,4.69110673749765,0.21136917068926375,0.21136917068926375
RK4,500,0.002,,True,5000,20000,0,0,0.5842635631561279,,0.0018069356588718364,1.5637481239974145,1.5297682163151642,5.948419162864429,5.528281213087124,0.07063018564666686,0.07063018564666686
RK4,500,0.001,,True,10000,40000,0,0,1.1619362831115723,,0.00017652536793115648,0.14701602408572848,0.23385185133654854,5.948419162864429,5.932281652603163,0.002712907382521245,0.002712907382521245
Radau,500,,0.001,True,3929,29568,10,0,1.385115623474121,,0.0006648401105632648,0.5229880158372281,0.530480089888384,5.948419162864429,5.893025507900709,0.009312332141880476,0.009312332141880476
Radau,500,,0.0001,True,7079,52477,2,0,2.393541097640991,,0.00013083995987678886,0.10171800795411969,0.03132382422270339,5.948419162864429,5.945452638885327,0.0004987079588508981,0.0004987079588508981
Radau,500,,1e-05,True,12870,94112,2,0,4.265836477279663,,3.703823619851615e-05,0.02939587964539292,0.001652764794333409,5.948419162864429,5.9482651124815344,2.589770133487507e-05,2.589770133487507e-05
Radau,500,,1e-06,True,23283,169574,2,0,7.72164249420166,,1.1359830409618075e-05,0.008994309462604858,8.875947203016525e-05,5.948419162864429,5.948410909850339,1.3874298135263442e-06,1.3874298135263442e-06
